Tenant_URL,Destination_URL,Page_Name,Disable_Banner,Status,Start_Date, End_Date
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,QuickLink,Yes,Banner button is successfully removed!,01/25/2021 15:39:47,01/25/2021 15:39:52
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,TeamLeaders,Yes,Banner button is successfully removed!,01/25/2021 15:39:52,01/25/2021 15:39:56
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,Application,Yes,Banner button is successfully removed!,01/25/2021 15:39:56,01/25/2021 15:40:01
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,New-Form,Yes,Banner button is successfully removed!,01/25/2021 15:40:01,01/25/2021 15:40:06
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,Edit-Form,Yes,Banner button is successfully removed!,01/25/2021 15:40:06,01/25/2021 15:40:11
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,Display-Form,Yes,Banner button is successfully removed!,01/25/2021 15:40:11,01/25/2021 15:40:15
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,Home,Yes,Banner button is successfully removed!,01/25/2021 16:31:56,01/25/2021 16:32:01
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,FAQs,Yes,Banner button is successfully removed!,01/25/2021 16:32:01,01/25/2021 16:32:07
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,QuickLink,Yes,Banner button is successfully removed!,01/25/2021 16:32:07,01/25/2021 16:32:12
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,TeamLeaders,Yes,Banner button is successfully removed!,01/25/2021 16:32:12,01/25/2021 16:32:16
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,Application,Yes,Banner button is successfully removed!,01/25/2021 16:32:16,01/25/2021 16:32:21
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,New-Form,Yes,Banner button is successfully removed!,01/25/2021 16:32:21,01/25/2021 16:32:26
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,Edit-Form,Yes,Banner button is successfully removed!,01/25/2021 16:32:26,01/25/2021 16:32:31
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,Display-Form,Yes,Banner button is successfully removed!,01/25/2021 16:32:31,01/25/2021 16:32:36
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,Edit-View,Yes,Banner button is successfully removed!,01/25/2021 16:32:36,01/25/2021 16:32:41
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,Display-View,Yes,Banner button is successfully removed!,01/25/2021 16:32:41,01/25/2021 16:32:46
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,Home,Yes,Banner button is successfully removed!,01/25/2021 16:32:46,01/25/2021 16:32:51
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,FAQs,Yes,Banner button is successfully removed!,01/25/2021 16:32:51,01/25/2021 16:32:57
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,QuickLink,Yes,Banner button is successfully removed!,01/25/2021 16:32:57,01/25/2021 16:33:02
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,TeamLeaders,Yes,Banner button is successfully removed!,01/25/2021 16:33:02,01/25/2021 16:33:07
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,Application,Yes,Banner button is successfully removed!,01/25/2021 16:33:07,01/25/2021 16:33:12
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,New-Form,Yes,Banner button is successfully removed!,01/25/2021 16:33:12,01/25/2021 16:33:17
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,Edit-Form,Yes,Banner button is successfully removed!,01/25/2021 16:33:17,01/25/2021 16:33:22
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,Display-Form,Yes,Banner button is successfully removed!,01/25/2021 16:33:22,01/25/2021 16:33:26
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,Edit-View,Yes,Banner button is successfully removed!,01/25/2021 16:33:26,01/25/2021 16:33:31
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,Display-View,Yes,Banner button is successfully removed!,01/25/2021 16:33:31,01/25/2021 16:33:36
