Tenant_URL,Destination_URL,Page_Name,Disable_Comments,Status,Start_Date, End_Date
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/PolicyDocumentRepository,TeamLeaders,Yes,Comments button is successfully removed!,01/20/2021 22:58:05,01/20/2021 22:58:36
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/PolicyDocumentRepository,Application,Yes,Comments button is successfully removed!,01/20/2021 22:58:36,01/20/2021 22:59:05
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/PolicyDocumentRepository,New-Form,Yes,Comments button is successfully removed!,01/20/2021 22:59:05,01/20/2021 22:59:48
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/PolicyDocumentRepository,Edit-Form,Yes,Comments button is successfully removed!,01/20/2021 22:59:48,01/20/2021 23:00:17
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/ClaimsKeywordDatabase,Home,Yes,Comments button is successfully removed!,01/21/2021 17:40:54,01/21/2021 17:41:03
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/ClaimsKeywordDatabase,FAQs,Yes,Comments button is successfully removed!,01/21/2021 17:41:03,01/21/2021 17:41:09
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/ClaimsKeywordDatabase,QuickLink,Yes,Comments button is successfully removed!,01/21/2021 17:41:09,01/21/2021 17:41:16
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/ClaimsKeywordDatabase,TeamLeaders,Yes,Comments button is successfully removed!,01/21/2021 17:41:16,01/21/2021 17:41:23
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/ClaimsKeywordDatabase,Application,Yes,Comments button is successfully removed!,01/21/2021 17:41:23,01/21/2021 17:41:30
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/ClaimsKeywordDatabase,New-Form,Yes,Comments button is successfully removed!,01/21/2021 17:41:30,01/21/2021 17:41:37
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/ClaimsKeywordDatabase,Edit-Form,Yes,Comments button is successfully removed!,01/21/2021 17:41:37,01/21/2021 17:41:45
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/ClaimsKeywordDatabase,Display-Form,Yes,Comments button is successfully removed!,01/21/2021 17:41:45,01/21/2021 17:41:52
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/ClaimsKeywordDatabase,Display-Page,Yes,Comments button is successfully removed!,01/21/2021 17:41:52,01/21/2021 17:41:59
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/ClaimsKeywordDatabase,Edit-Page,Yes,Comments button is successfully removed!,01/21/2021 17:41:59,01/21/2021 17:42:05
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketAbeyance,Home,Yes,Comments button is successfully removed!,01/21/2021 17:42:05,01/21/2021 17:42:12
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketAbeyance,FAQs,Yes,Comments button is successfully removed!,01/21/2021 17:42:12,01/21/2021 17:42:19
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketAbeyance,QuickLink,Yes,Comments button is successfully removed!,01/21/2021 17:42:19,01/21/2021 17:42:26
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketAbeyance,TeamLeaders,Yes,Comments button is successfully removed!,01/21/2021 17:42:26,01/21/2021 17:42:32
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketAbeyance,Application,Yes,Comments button is successfully removed!,01/21/2021 17:42:32,01/21/2021 17:42:39
