Tenant_URL,Destination_URL,Page_Name,Disable_Like,Status,Start_Date, End_Date
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,QuickLink,Yes,Social button is successfully removed!,01/25/2021 16:30:46,01/25/2021 16:30:48
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,TeamLeaders,Yes,Social button is successfully removed!,01/25/2021 16:30:48,01/25/2021 16:30:50
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,Application,Yes,Social button is successfully removed!,01/25/2021 16:30:50,01/25/2021 16:30:53
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,New-Form,Yes,Social button is successfully removed!,01/25/2021 16:30:53,01/25/2021 16:30:55
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,Edit-Form,Yes,Social button is successfully removed!,01/25/2021 16:30:55,01/25/2021 16:30:57
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,Display-Form,Yes,Social button is successfully removed!,01/25/2021 16:30:57,01/25/2021 16:30:59
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,Edit-View,Yes,Social button is successfully removed!,01/25/2021 16:30:59,01/25/2021 16:31:02
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,Display-View,Yes,Social button is successfully removed!,01/25/2021 16:31:02,01/25/2021 16:31:05
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,Home,Yes,Social button is successfully removed!,01/25/2021 16:31:05,01/25/2021 16:31:07
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,FAQs,Yes,Social button is successfully removed!,01/25/2021 16:31:07,01/25/2021 16:31:09
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,QuickLink,Yes,Social button is successfully removed!,01/25/2021 16:31:09,01/25/2021 16:31:12
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,TeamLeaders,Yes,Social button is successfully removed!,01/25/2021 16:31:12,01/25/2021 16:31:15
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,Application,Yes,Social button is successfully removed!,01/25/2021 16:31:15,01/25/2021 16:31:17
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,New-Form,Yes,Social button is successfully removed!,01/25/2021 16:31:17,01/25/2021 16:31:19
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,Edit-Form,Yes,Social button is successfully removed!,01/25/2021 16:31:20,01/25/2021 16:31:23
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,Display-Form,Yes,Social button is successfully removed!,01/25/2021 16:31:23,01/25/2021 16:31:25
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,Edit-View,Yes,Social button is successfully removed!,01/25/2021 16:31:25,01/25/2021 16:31:27
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,Display-View,Yes,Social button is successfully removed!,01/25/2021 16:31:27,01/25/2021 16:31:30
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/BPCToolkit,Home,Yes,Social button is successfully removed!,01/28/2021 13:15:04,01/28/2021 13:15:09
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/BPCToolkit,FAQs,Yes,Social button is successfully removed!,01/28/2021 13:15:09,01/28/2021 13:15:13
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/BPCToolkit,QuickLink,Yes,Social button is successfully removed!,01/28/2021 13:15:13,01/28/2021 13:15:16
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/BPCToolkit,TeamLeaders,Yes,Social button is successfully removed!,01/28/2021 13:15:16,01/28/2021 13:15:19
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/BPCToolkit,Application,Yes,Social button is successfully removed!,01/28/2021 13:15:19,01/28/2021 13:15:22
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/BPCToolkit,New-Form,Yes,Social button is successfully removed!,01/28/2021 13:15:22,01/28/2021 13:15:25
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/BPCToolkit,Edit-Form,Yes,Social button is successfully removed!,01/28/2021 13:15:25,01/28/2021 13:15:29
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/BPCToolkit,Display-Form,Yes,Social button is successfully removed!,01/28/2021 13:15:29,01/28/2021 13:15:33
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/BPCToolkit,Edit-View,Yes,Social button is successfully removed!,01/28/2021 13:15:33,01/28/2021 13:15:36
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/BPCToolkit,Display-View,Yes,Social button is successfully removed!,01/28/2021 13:15:36,01/28/2021 13:15:42
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/ZebraAuthorizationToolkit,Home,Yes,Social button is successfully removed!,01/28/2021 13:15:42,01/28/2021 13:15:46
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/ZebraAuthorizationToolkit,FAQs,Yes,Social button is successfully removed!,01/28/2021 13:15:46,01/28/2021 13:15:49
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/ZebraAuthorizationToolkit,QuickLink,Yes,Social button is successfully removed!,01/28/2021 13:15:49,01/28/2021 13:15:52
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/ZebraAuthorizationToolkit,TeamLeaders,Yes,Social button is successfully removed!,01/28/2021 13:15:52,01/28/2021 13:15:55
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/ZebraAuthorizationToolkit,Application,Yes,Social button is successfully removed!,01/28/2021 13:15:55,01/28/2021 13:15:57
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/ZebraAuthorizationToolkit,New-Form,Yes,Social button is successfully removed!,01/28/2021 13:15:57,01/28/2021 13:16:01
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/ZebraAuthorizationToolkit,Edit-Form,Yes,Social button is successfully removed!,01/28/2021 13:16:01,01/28/2021 13:16:04
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/ZebraAuthorizationToolkit,Display-Form,Yes,Social button is successfully removed!,01/28/2021 13:16:04,01/28/2021 13:16:07
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/ZebraAuthorizationToolkit,Edit-View,Yes,Social button is successfully removed!,01/28/2021 13:16:07,01/28/2021 13:16:10
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/ZebraAuthorizationToolkit,Display-View,Yes,Social button is successfully removed!,01/28/2021 13:16:10,01/28/2021 13:16:13
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/CounterProductsTraining,Home,Yes,Social button is successfully removed!,02/01/2021 14:47:05,02/01/2021 14:47:09
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/CounterProductsTraining,FAQs,Yes,Social button is successfully removed!,02/01/2021 14:47:09,02/01/2021 14:47:11
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/CounterProductsTraining,QuickLink,Yes,Social button is successfully removed!,02/01/2021 14:47:11,02/01/2021 14:47:14
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/CounterProductsTraining,TeamLeaders,Yes,Social button is successfully removed!,02/01/2021 14:47:14,02/01/2021 14:47:16
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/CounterProductsTraining,Application,Yes,Social button is successfully removed!,02/01/2021 14:47:16,02/01/2021 14:47:19
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/CounterProductsTraining,New-Form,Yes,Social button is successfully removed!,02/01/2021 14:47:19,02/01/2021 14:47:22
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/CounterProductsTraining,Edit-Form,Yes,Social button is successfully removed!,02/01/2021 14:47:22,02/01/2021 14:47:25
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/CounterProductsTraining,Display-Form,Yes,Social button is successfully removed!,02/01/2021 14:47:25,02/01/2021 14:47:28
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/CounterProductsTraining,Edit-View,Yes,Social button is successfully removed!,02/01/2021 14:47:28,02/01/2021 14:47:30
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/CounterProductsTraining,Display-View,Yes,Social button is successfully removed!,02/01/2021 14:47:30,02/01/2021 14:47:33
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/NewNCCReferenceDictionary,Home,Yes,Social button is successfully removed!,02/02/2021 17:07:57,02/02/2021 17:09:57
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/NewNCCReferenceDictionary,FAQs,Yes,Social button is successfully removed!,02/02/2021 17:09:57,02/02/2021 17:10:01
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/NewNCCReferenceDictionary,QuickLink,Yes,Social button is successfully removed!,02/02/2021 17:10:01,02/02/2021 17:10:03
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/NewNCCReferenceDictionary,TeamLeaders,Yes,Social button is successfully removed!,02/02/2021 17:10:03,02/02/2021 17:10:06
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/NewNCCReferenceDictionary,Application,Yes,Social button is successfully removed!,02/02/2021 17:10:06,02/02/2021 17:10:10
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/NewNCCReferenceDictionary,New-Form,Yes,Social button is successfully removed!,02/02/2021 17:10:10,02/02/2021 17:10:14
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/NewNCCReferenceDictionary,Edit-Form,Yes,Social button is successfully removed!,02/02/2021 17:10:14,02/02/2021 17:10:17
